id,active,category,trigger_pattern,language,extraction_target,example_input,expected_output,edge_cases
18,Y,interaction,"Treffen mit X / Telefonat mit X",de,"log_interaction[type=meeting/call, person_ids/person_names]","„Treffen mit Marvin gestern""","log_interaction {type: ""meeting"", person_names: [""Marvin""], occurred_at: ""2026-05-13""}","„gestern""/„heute""/„vor 2 Tagen"" → relative ISO. Default: jetzt."
19,Y,interaction,"hab mit X gesprochen über Y",de,"log_interaction[type=call, summary=Y]","„Hab mit Sarah über Pricing gesprochen""","log_interaction {type: ""call"", summary: ""Pricing"", person_names: [""Sarah""]}","summary aus dem „über""-Teil"
20,Y,reminder,"in N Tagen / nächste Woche / am DD.MM.",de,"create_reminder[remind_at, text, recurrence=once]","„Erinnere mich nächste Woche Donnerstag""","create_reminder {remind_at: ""<next thursday>"", text: ""Reminder"", recurrence: ""once""}","„jeden""/„immer"" → recurrence=weekly/monthly/yearly"
21,Y,reminder,"jedes Jahr am X / jährlich",de,"create_reminder[recurrence=yearly]","„Jährlich am Tag vor Bauma fragen""","create_reminder {recurrence: ""yearly""}","-"
22,Y,todo,"muss noch / vergessen nicht zu / soll",de,"create_todo[text, due_date?, priority?]","„Muss Felix noch Pricing schicken""","create_todo {text: ""Pricing schicken"", person_names: [""Felix""]}","„dringend"" → priority=high"
23,Y,tag,"mag X / liebt X / interessiert sich für X",de,"add_tags[X]","„Mag klassische Musik""","add_tags: [""klassik"", ""musik""]","Multi-Tag erlaubt. Cluster default = interests (auf Detail-Page reklassifizierbar)"
24,Y,tag,"ist Veganer / vegetarisch / glutenfrei",de,"add_tags",„Marvin ist Veganer"",add_tags: [""vegan""],-
25,Y,tag,"spielt X / fährt X / macht X (Sport)",de,"add_tags",„Spielt Padel"",add_tags: [""padel""],-
26,Y,passion,"liebt X über alles / ist passioniert für X",de,"add_passions[X]","„Klassik ist seine Leidenschaft""","add_passions: [""klassik""]","Passion vs Tag: stärker emotional / identitätsstiftend. Max 5"
27,Y,circle,"ist im X-Network / gehört zu X / aus dem X-Kreis",de,"add_circles[X]","„Im YC W22 Batch""","add_circles: [""YC W22""]","Communities, Vereine, Programs"
28,Y,axis-purpose,"ist ein wichtiger Kunde / Business-Kontakt",de,"update_person.purpose=business_active","„Wichtiger Bestandskunde""","{purpose: ""business_active""}","Default = personal. Nur überschreiben wenn klar"
29,Y,axis-purpose,"will ich aktiv aufbauen / Vorbild",de,"update_person.purpose=aspirational","„Möchte ich aktiv aufbauen""","{purpose: ""aspirational""}","-"
30,Y,axis-depth,"einer meiner besten Freunde / steht mir nah",de,"update_person.depth=trusted_15",„Beste Freundin"",{depth: ""trusted_15""},"Depth_source bleibt auto wenn keine explizite Tiefe genannt"
31,Y,axis-mode,"sollte ich wieder anpacken / länger nichts gehört",de,"update_person.mode=reconnect","„Sollte ich wieder anrufen""","{mode: ""reconnect""}","-"
32,Y,axis-mode,"ist eingeschlafen / länger nicht / archiviert",de,"update_person.mode=dormant or archive","„Schon ein Jahr nichts gehört""","{mode: ""dormant""}","-"
33,Y,filter,"zeig mir alle / finde alle / wer ist",de,"query_people",„Zeig alle in München mit Padel"",query_people {location: ""münchen"", passion: ""padel""},"NICHT mit log_interaction verwechseln — keine person_id-Resolution"
34,Y,filter,"wer hat Tag X / wer ist im Kreis Y",de,"query_people[tag/circle]","„Wer ist im Stammtisch?""","query_people {circle: ""Stammtisch""}","-"
35,Y,filter,"wer hat Geburtstag diese Woche",de,"query_people OR direkt zu /heute redirecten","„Geburtstage diese Woche?""","query_people, Voice-Antwort nennt die Treffer","-"
36,Y,location,"wohnt in X / lebt in X / kommt aus X",de,"update_person.current_location / home_location","„Wohnt in Berlin, kommt aus Hamburg""","{current_location: ""Berlin"", home_location: ""Hamburg""}","„wohnt"" → current; „kommt aus""/„aus X""/„geboren in"" → home"
37,Y,passive-anti-notes,"Beziehungen, Daten, Kontakte → NIEMALS in notes",de,"-",-,-,"Wenn ein anderer Trigger passt, der hat Vorrang. notes ist letzte Wahl."
38,N,smart-suggestions,"wenn N Interaktionen seit M Tagen → suggest depth_change",de,"create suggestion (suggestion-engine)","„X hatte 8 Interaktionen letzten Monat""","-","Suggestion-System läuft eh server-side, aber Voice könnte explizit triggern"
39,Y,explicit-cluster,"wichtig: X ist Signal / X ist Origin",de,"add_tags + cluster=signal/origin","„Wichtig: kind-2025-geboren als Signal""","add_tags mit forced cluster","Standard wäre interests — User kann explizit anderen Cluster anweisen"
40,N,multi-person,"Felix und Marvin haben ...",de,"log_interaction mit person_names=[Felix, Marvin]","„Hab mich mit Felix und Marvin getroffen""","log_interaction {person_names: [""Felix"", ""Marvin""]}","Beide müssen erkennbar sein"
